motif	estimatedScale	MSE	optimizedScale	optimizedMSE	motifLength	numberOfKmers
Neurog1	0.2970953133572783	4.332390201880373	0.3370953133572783	0.0186246206093401	10.0	198552
Nfat5	0.3244864981542682	2.922760804452888	0.3544864981542682	0.0326091847866034	8.0	198552
Nfatc1	0.4006069027542696	0.6718289192151111	0.4206069027542696	0.0001362252782586	6.0	198552
Nfatc2	0.3649055433582822	0.6823545716788628	0.3849055433582822	0.0216606109991289	8.0	198552
Nfe2l2	0.3181585770491663	1.2239306637513854	0.3381585770491663	0.0162257661409149	11.0	198552
Nkx2-1	0.375827974441059	0.04681887671974	0.375827974441059	0.04681887671974	7.0	198552
Nkx2-5	0.3308500852833287	6.305937603290068	0.3908500852833287	0.0474033974542339	7.0	198552
Nkx3-1	0.3871935454327388	0.5582481737074886	0.4071935454327388	0.0155515465799282	7.0	198552
Nkx3-2	0.3483481677262966	1.43920204702472	0.3683481677262966	0.0301035759766907	10.0	198552
Nobox	0.2168686316569105	27.69479993035845	0.3868686316569105	0.0374554356294158	6.0	198552
Npas2	0.3341452840368948	1.1751717787652831	0.3541452840368948	0.0003244229840859	8.0	198552
Npas4	0.37167655200216	1.0910371840803763	0.39167655200216	0.0206372911069432	7.0	198552
Nr1H2	0.399345193690629	0.0101455974588026	0.399345193690629	0.0101455974588026	6.0	198552
Nr1H4	0.3895966558501368	0.0361705417658467	0.3895966558501368	0.0361705417658467	6.0	198552
Nr1h3	0.3913116652981417	0.926469843921701	0.4113116652981418	0.0038156319155231	6.0	198552
Nr1h3::Rxra	0.2443115727408885	5.884875076824105	0.2743115727408884	0.0978626862939313	16.0	198552
Nr2F6	0.2586848416082707	0.3528095684411211	0.2686848416082707	0.0596826153475054	15.0	198552
Nr2e1	0.2831631060712885	8.025686373712915	0.3331631060712884	0.0231836180540782	9.0	198552
Nr2e3	0.3288178851010341	1.449444510837686	0.3588178851010342	0.0127848248477606	6.0	198552
Nr2f6	0.2555391458210388	1.4598152182200592	0.2655391458210389	0.1499196098327514	13.0	198552
Nr5A2	0.3360988866400757	0.5277272057892802	0.3460988866400757	0.0288587671185087	9.0	198552
Nr5a2	0.2726042502676317	4.649649206399305	0.3026042502676317	0.0390811712257195	15.0	198552
Nrf1	0.1953203224894799	19.08444849253633	0.2553203224894799	0.0418878332106705	12.0	198552
Olig2	0.2729838178437536	6.338139759074229	0.3129838178437536	0.0520694883151005	6.0	198552
Pax2	0.3464144548025975	1.0374463284512463	0.3664144548025975	0.0024631915107509	7.0	198552
Pax4	0.206801453642909	20.23646078400941	0.2768014536429091	0.0467402262141352	30.0	198552
Pax5	0.2447947598585829	7.296932782377588	0.2847947598585829	0.1545055989937965	20.0	198552
Pax7	0.1809489929556574	27.48620382253923	0.2909489929556574	0.0205101931274359	10.0	198552
